# produced by /home/zzhang65/tools/perllib/bin/cub_seq.pl -s Bdis.cds_primaryTrancsriptOnly.fa.filtered -t codon_tai.tsv -c codon_cai_top300.tsv -f optimal_codons.tsv -e enc -l -o seq_cub.tsv
#seq_id	enc	tai	cai	fop
Bradi2g56250	62	0.4696362	0.4312263	0.5076336
Bradi2g62150	51.1239145	0.4964455	0.4702763	0.5437956
Bradi2g38280	57.1674277	0.4847949	0.4698190	0.5193798
Bradi2g59780	50.5585392	0.5013810	0.5785613	0.5161290
Bradi2g02930	50.8776557	0.4759241	0.5451246	0.5175879
Bradi2g37672	62	0.4528887	0.3411808	0.4244604
Bradi2g57220	55.7410588	0.4765749	0.3988770	0.5090253
Bradi2g48580	35.2979123	0.5215013	0.7403480	0.6037736
Bradi2g47970	32.7078011	0.5346714	0.8042207	0.6236324
Bradi2g04624	58.7812239	0.4911678	0.4354489	0.5468165
Bradi2g26800	35.8703988	0.5059499	0.7467299	0.5482014
Bradi2g06450	56.5121380	0.4661984	0.3705799	0.4775828
Bradi2g20640	38.3124912	0.5323228	0.6963870	0.6134021
Bradi2g46050	34.9507218	0.5299928	0.7712921	0.6055556
Bradi2g36480	60.9006334	0.4758862	0.4144938	0.5360577
Bradi2g42023	43.9326407	0.5384610	0.6989716	0.6129032
Bradi2g45090	30.2842720	0.5338663	0.8379871	0.6129032
Bradi2g41087	38.6649254	0.5184523	0.7200560	0.5978022
Bradi2g25920	60.1322883	0.4891093	0.4369112	0.5305040
Bradi2g05840	43.6972492	0.5055834	0.6421218	0.5605701
Bradi2g08225	53.8277269	0.5084533	0.5479487	0.5829146
Bradi2g11840	36.2815242	0.5049269	0.6835645	0.5736842
Bradi2g21770	47.8678770	0.5193693	0.5909960	0.5818182
Bradi2g15500	38.0421344	0.5177083	0.7152601	0.6178707
Bradi2g23860	49.9342101	0.4457554	0.3545343	0.4832827
Bradi2g23850	51.6235624	0.4511742	0.3655893	0.4979424
Bradi2g08823	37.5086923	0.5276107	0.6176060	0.6203704
Bradi2g60409	46.7097921	0.4679985	0.3346485	0.4655172
Bradi2g06463	57.9960364	0.4617594	0.5247670	0.4268293
Bradi2g50280	37.2890010	0.5357425	0.7510324	0.6340694
Bradi2g36580	45.6924190	0.4906436	0.6688183	0.6014493
Bradi2g01540	54.2007663	0.4975627	0.4438621	0.4907749
Bradi2g13920	52.8754194	0.4906443	0.5192909	0.5030303
Bradi2g28420	58.7785292	0.4793992	0.4944799	0.5176991
Bradi2g56620	40.1165705	0.5382219	0.6915939	0.6000000
Bradi2g49383	62	0.4722297	0.3833051	0.4090909
Bradi2g23730	56.6236705	0.4738023	0.4564285	0.4922280
Bradi2g31172	55.5062586	0.5193903	0.4601052	0.5988024
Bradi2g19913	62	0.4704306	0.5338399	0.5227273
Bradi2g18640	56.2637569	0.4790141	0.3930086	0.5268817
Bradi2g44205	53.4363347	0.4920686	0.4598083	0.6046512
Bradi2g05094	51.3940843	0.4541344	0.4784105	0.4925373
Bradi2g37810	33.2916749	0.5092030	0.7734947	0.5688073
Bradi2g43510	33.7156373	0.5411225	0.7932275	0.6834532
Bradi2g23370	38.8022770	0.5035360	0.6958191	0.6097561
Bradi2g19930	37.6444169	0.5268289	0.7230740	0.6564103
Bradi2g04729	54.6336641	0.4691087	0.3565579	0.4958159
Bradi2g03560	35.9313714	0.5167465	0.7594159	0.6318408
Bradi2g13041	59.1847458	0.4259871	0.3115390	0.4428571
Bradi2g62140	50.1848625	0.4877514	0.5892529	0.5152174
Bradi2g33456	44.9477287	0.4989558	0.6337405	0.5000000
Bradi2g05890	51.6796450	0.4584794	0.3536453	0.4392015
Bradi2g03320	50.3578071	0.5161119	0.4980784	0.6135266
Bradi2g61950	55.4733251	0.5286360	0.5188645	0.6000000
Bradi2g61247	34.4099666	0.5121268	0.7408132	0.5635306
Bradi2g58077	52.1305995	0.4669966	0.3438349	0.5236486
Bradi2g51220	47.1745711	0.5119899	0.5883036	0.6105263
Bradi2g16620	62	0.5120305	0.4521558	0.5639535
Bradi2g09666	55.3829916	0.4614083	0.5103502	0.4712042
Bradi2g38420	44.9544672	0.4900136	0.5991965	0.5491329
Bradi2g32560	33.7206013	0.5209054	0.7783603	0.5780591
Bradi2g04060	37.3976722	0.5246777	0.7213576	0.6022727
Bradi2g22300	36.1343943	0.5326320	0.7429041	0.5908046
Bradi2g33995	48.7535114	0.4577216	0.5545915	0.4838710
Bradi2g19756	57.4415911	0.4803759	0.4259908	0.5572139
Bradi2g51600	53.1431122	0.4988062	0.4945341	0.5650224
Bradi2g08701	47.8955562	0.5532783	0.6766877	0.6529680
Bradi2g22760	59.5266671	0.4937962	0.4410192	0.5399719
Bradi2g01370	56.0816537	0.4670027	0.3425748	0.4897436
Bradi2g03990	53.8351671	0.4582850	0.3486383	0.4626667
Bradi2g36041	52.7825702	0.5034821	0.4918196	0.4958678
Bradi2g17730	31.4391305	0.5570829	0.8400800	0.6371951
Bradi2g47014	54.0930672	0.5052253	0.5496574	0.5714286
Bradi2g55935	51.0619886	0.4693987	0.3479812	0.4680851
Bradi2g24800	35.9668292	0.5290279	0.7368975	0.6164384
Bradi2g31560	59.2287154	0.4682616	0.3953860	0.5099819
Bradi2g52070	52.6675292	0.4457861	0.3377227	0.4519906
Bradi2g36840	46.9634200	0.5090246	0.5937635	0.5687204
Bradi2g02780	56.3241743	0.4802109	0.5250995	0.5176471
Bradi2g23120	57.5695902	0.5118971	0.4669666	0.5904762
Bradi2g06570	46.6271437	0.4991355	0.5968153	0.5773026
Bradi2g52660	28.3474642	0.5317169	0.8667742	0.6405797
Bradi2g02980	48.4242292	0.3857473	0.2545093	0.3263158
Bradi2g27687	33.0293045	0.5113601	0.7872595	0.6023622
Bradi2g27060	51.6266600	0.4795040	0.5060224	0.5209125
Bradi2g37797	61.9496406	0.4464824	0.3435361	0.4426230
Bradi2g48030	57.9855050	0.4890165	0.4734159	0.5641892
Bradi2g03830	42.4836633	0.4970870	0.6005285	0.5217391
Bradi2g32520	32.2948319	0.5389511	0.8027747	0.6438746
Bradi2g31520	62	0.4896412	0.3897330	0.5329949
Bradi2g21030	54.7637632	0.4759208	0.4301565	0.4769231
Bradi2g19177	40.2990187	0.5208615	0.6938130	0.6091703
Bradi2g35472	58.1977766	0.4940631	0.4982609	0.5522682
Bradi2g21230	31.4957175	0.5268278	0.7206963	0.6406250
Bradi2g48480	56.4369687	0.4765858	0.4327096	0.4978632
Bradi2g38590	59.0636595	0.4830840	0.3951703	0.5465995
Bradi2g17213	56.9551915	0.4897116	0.4689333	0.5787234
Bradi2g17900	59.2488096	0.4933743	0.4552394	0.5234899
Bradi2g12790	55.4560270	0.4879339	0.4085962	0.5371230
Bradi2g03680	51.0513955	0.4976181	0.5420032	0.5378788
Bradi2g38370	56.3040197	0.4676121	0.3544751	0.5037783
Bradi2g49912	54.9637994	0.5090546	0.4983599	0.5860963
Bradi2g60580	42.2294217	0.5124655	0.6752185	0.6067864
Bradi2g30380	37.9601589	0.5205594	0.7188102	0.6061151
Bradi2g10180	53.9905647	0.4841022	0.3622635	0.5474138
Bradi2g11940	42.4895860	0.5162136	0.6202433	0.5977011
Bradi2g52295	29.4641396	0.5718395	0.7412638	0.6504854
Bradi2g24320	36.2696951	0.4976863	0.7695488	0.4946237
Bradi2g05445	52.7251832	0.4594461	0.3353317	0.4992076
Bradi2g17170	60.6168589	0.4740465	0.3972606	0.4810127
Bradi2g40570	37.7467392	0.5368217	0.6811244	0.6566667
Bradi2g25280	39.7379858	0.5224575	0.6702601	0.6073620
Bradi2g06005	54.8280834	0.4209389	0.2903997	0.3548387
Bradi2g40760	56.2047946	0.4767317	0.4225361	0.5184729
Bradi2g10471	47.0015078	0.5080465	0.5476164	0.5854342
Bradi2g39420	54.8186795	0.4670931	0.3449018	0.4988309
Bradi2g46740	33.1524752	0.5110769	0.7820556	0.5959184
Bradi2g23920	54.5368778	0.4617521	0.3532657	0.4678899
Bradi2g16490	51.7629498	0.4531001	0.3476869	0.4889336
Bradi2g60370	62	0.4618782	0.4409475	0.5294118
Bradi2g35620	42.0898402	0.5584270	0.6230836	0.6872587
Bradi2g17120	35.9277807	0.5209174	0.7405534	0.5911765
Bradi2g21340	49.7431439	0.5272546	0.5834898	0.6563981
Bradi2g07160	54.1648141	0.4438075	0.3385876	0.4926254
Bradi2g47076	52.1911683	0.4816122	0.3862942	0.5255814
Bradi2g51195	52.9576289	0.4930010	0.5385577	0.5497512
Bradi2g60534	39.2511330	0.5174150	0.7210852	0.6352459
Bradi2g05260	33.1518432	0.5402652	0.7587893	0.6346555
Bradi2g09860	55.0763748	0.4677416	0.3708857	0.5000000
Bradi2g47640	31.0643843	0.5306646	0.7994920	0.6234568
Bradi2g04890	60.8535501	0.4553595	0.3994844	0.4929078
Bradi2g12555	44.0230776	0.5122039	0.6331232	0.5913043
Bradi2g27816	54.7025862	0.4551636	0.5533858	0.4766839
Bradi2g01145	51.1349447	0.4287927	0.3479474	0.4025974
Bradi2g25210	51.1141793	0.4937475	0.3832796	0.5361305
Bradi2g62257	60.9124805	0.4575986	0.3891544	0.4698795
Bradi2g25080	50.1716924	0.5166053	0.4323752	0.5841584
Bradi2g21395	44.0736157	0.5111659	0.4791789	0.5000000
Bradi2g00540	52.3031245	0.4473781	0.3680067	0.4682927
Bradi2g30480	55.8705223	0.4682264	0.4626283	0.4580336
Bradi2g15450	39.3682492	0.5394899	0.7253206	0.6591640
Bradi2g22960	53.5476111	0.4653450	0.3622686	0.4940828
Bradi2g38640	54.4913907	0.4901449	0.5003953	0.5822102
Bradi2g11210	56.7090010	0.4770658	0.4240285	0.5260163
Bradi2g28000	53.7053828	0.4739806	0.4979389	0.4885246
Bradi2g31380	62	0.4671624	0.3568276	0.3521127
Bradi2g24840	62	0.5108134	0.7042874	0.5795455
Bradi2g22550	56.1472234	0.4649833	0.4208738	0.4852255
Bradi2g18830	54.7957123	0.4835334	0.4248391	0.5208791
Bradi2g50125	45.1916708	0.4784434	0.6030328	0.5446009
Bradi2g47740	48.2967548	0.5238242	0.5700502	0.5810056
Bradi2g19640	57.9171225	0.4848805	0.4500369	0.5305907
Bradi2g14101	48.3261090	0.4889850	0.4176938	0.5535939
Bradi2g39830	34.0419840	0.5045560	0.7240686	0.5641026
Bradi2g20460	58.3415079	0.5006202	0.4840629	0.5829596
Bradi2g49357	56.3956569	0.4819487	0.4908520	0.5198488
Bradi2g50890	55.1949453	0.4643404	0.3679350	0.5225141
Bradi2g37610	36.1663775	0.5089357	0.7769958	0.5618557
Bradi2g47810	40.9243033	0.5114621	0.6759225	0.5766234
Bradi2g18347	43.9978112	0.5073551	0.6222638	0.5816993
Bradi2g28910	37.4442601	0.5098892	0.7141724	0.5876289
Bradi2g00750	36.9669267	0.5219012	0.6869474	0.5968992
Bradi2g23841	62	0.4454182	0.4665368	0.4000000
Bradi2g08366	39.2490306	0.5474196	0.7364793	0.6485507
Bradi2g35040	59.2184233	0.4728661	0.4265753	0.5396146
Bradi2g00992	55.4292603	0.4984784	0.4663485	0.5535168
Bradi2g34992	55.0747435	0.4886868	0.5408885	0.5481481
Bradi2g11300	39.3800889	0.5019638	0.6928955	0.5936508
Bradi2g01561	44.4924082	0.4825267	0.5746779	0.4615385
Bradi2g58310	36.5509491	0.5878964	0.7470620	0.7203791
Bradi2g47575	56.0323749	0.5224875	0.4879516	0.5925926
Bradi2g49067	37.2829621	0.5280514	0.7126933	0.6228448
Bradi2g38731	55.8779771	0.5090236	0.5275731	0.5142857
Bradi2g44942	58.7112348	0.4532608	0.3938681	0.4861996
Bradi2g36310	55.0249513	0.4506664	0.3254907	0.4360465
Bradi2g04980	32.0866242	0.5345420	0.8103796	0.6387560
Bradi2g22990	27.9959974	0.5612713	0.8160398	0.6274510
Bradi2g26286	48.4529686	0.4930626	0.5202928	0.5330579
Bradi2g38260	57.7057498	0.4772666	0.4534321	0.5092323
Bradi2g39435	50.8880302	0.4572674	0.4128584	0.5128205
Bradi2g45146	42.3107144	0.4955064	0.5096304	0.5142857
Bradi2g34560	45.0284555	0.5145943	0.6069168	0.5953003
Bradi2g54697	56.0819560	0.4764057	0.3683154	0.5207668
Bradi2g16710	60.0790868	0.4627534	0.4042906	0.4816901
Bradi2g48880	48.9446813	0.4947066	0.5817276	0.5461847
Bradi2g40530	38.9976415	0.5216279	0.7075894	0.6235955
Bradi2g09690	40.9887556	0.5148364	0.6503186	0.5889571
Bradi2g39590	48.3234562	0.5288984	0.5349467	0.6396648
Bradi2g50610	56.1145588	0.4618165	0.3806288	0.4809524
Bradi2g27943	53.0346406	0.4955225	0.5902072	0.5810811
Bradi2g31760	40.2688212	0.5033579	0.6571091	0.5732218
Bradi2g55640	54.8362892	0.4939778	0.4222538	0.5651064
Bradi2g18447	44.7046195	0.5319087	0.6554365	0.6355422
Bradi2g34040	53.4327103	0.5064015	0.5073449	0.5840517
Bradi2g42767	46.1943767	0.4987255	0.5968783	0.5480769
Bradi2g23341	53.6494687	0.4619469	0.3392243	0.4650284
Bradi2g08293	30.7090793	0.5023191	0.8088993	0.5394737
Bradi2g10840	59.0452973	0.4841119	0.4283608	0.5173267
Bradi2g20830	32.7471510	0.5353299	0.8341896	0.6038339
Bradi2g23040	53.8521667	0.4743096	0.3716667	0.5340909
Bradi2g51140	58.3884141	0.4950360	0.3953531	0.5564054
Bradi2g27190	49.1892023	0.5334015	0.5363181	0.6800000
Bradi2g19620	34.3841388	0.4937151	0.6688615	0.5681818
Bradi2g39622	58.2686582	0.4667087	0.3567154	0.4962217
Bradi2g54367	46.9116977	0.5200429	0.5936131	0.6118881
Bradi2g19550	59.3259665	0.4761237	0.3974672	0.4901316
Bradi2g03051	58.0083032	0.4885047	0.4993135	0.5317460
Bradi2g09510	54.9672972	0.4417880	0.3278161	0.4029126
Bradi2g34450	57.4556650	0.5337657	0.4641006	0.6640000
Bradi2g62650	55.8066367	0.4872607	0.4232023	0.5600000
Bradi2g05242	52.3724638	0.4472243	0.3145450	0.4610758
Bradi2g49767	39.9079210	0.5381481	0.6537057	0.6852792
Bradi2g43367	44.2144631	0.4846620	0.6441356	0.4909091
Bradi2g17083	46.2597401	0.5321964	0.6097001	0.6020761
Bradi2g20660	32.8117857	0.5107101	0.7766215	0.5572289
Bradi2g56470	34.1717463	0.5281812	0.7731188	0.6301115
Bradi2g38530	48.9280127	0.4681830	0.5511983	0.5073892
Bradi2g61100	36.5858024	0.5518356	0.6809342	0.6000000
Bradi2g40110	52.0154459	0.4785727	0.5123378	0.5082873
Bradi2g07543	32.8051538	0.5189705	0.7968331	0.5500000
Bradi2g32670	35.1062497	0.5321356	0.7263390	0.6400818
Bradi2g17200	44.6403605	0.4830612	0.6319321	0.4794521
Bradi2g59047	52.6548968	0.5011331	0.5237260	0.5644769
Bradi2g02880	56.4262909	0.4756713	0.3966483	0.5203762
Bradi2g40410	34.4339256	0.5308147	0.7905044	0.6274510
Bradi2g39648	57.0304024	0.4623481	0.3509246	0.4944072
Bradi2g31260	57.8273350	0.4647425	0.3588812	0.5298507
Bradi2g02900	57.2183357	0.4858154	0.4273134	0.5357143
Bradi2g43580	57.0626745	0.4591306	0.3851122	0.4978541
Bradi2g18767	59.3970485	0.4644049	0.3637645	0.4842767
Bradi2g00860	54.5919786	0.4685240	0.3614798	0.5003549
Bradi2g46620	35.5405739	0.5252705	0.7430836	0.5949008
Bradi2g24056	58.1142342	0.4376225	0.3743615	0.4427481
Bradi2g05611	41.9709184	0.5061921	0.6549812	0.5397849
Bradi2g00960	56.5304037	0.4800624	0.4721544	0.5208333
Bradi2g35578	52.1466189	0.4446996	0.4149023	0.4720000
Bradi2g38300	58.8477975	0.4881538	0.4605823	0.5280289
Bradi2g60740	52.7848966	0.5126034	0.4944675	0.5714286
Bradi2g36687	33.6805128	0.5367233	0.7979717	0.6618497
Bradi2g12192	42.1066148	0.5008408	0.6723623	0.5730994
Bradi2g52930	49.9553941	0.4662288	0.4992225	0.4977376
Bradi2g52920	54.0432508	0.4844984	0.5023401	0.5137795
Bradi2g22224	36.0723133	0.5354821	0.7740356	0.6940063
Bradi2g33290	31.5838788	0.5590283	0.8384625	0.7001934
Bradi2g10850	52.0908602	0.4874746	0.3807867	0.5479452
Bradi2g62550	58.6677992	0.4681229	0.3754975	0.5010309
Bradi2g02810	39.4737182	0.5264415	0.6582507	0.6076389
Bradi2g50060	57.2054658	0.4987132	0.3675162	0.4601227
Bradi2g17500	57.0465527	0.4760181	0.4229285	0.5090909
Bradi2g52790	50.6709225	0.5121527	0.5279598	0.6075949
Bradi2g50090	55.1498989	0.5053237	0.4804813	0.5930233
Bradi2g08490	62	0.4657909	0.4131733	0.5470588
Bradi2g59195	51.8428176	0.4878449	0.3961583	0.5515320
Bradi2g10510	50.2085634	0.5106940	0.5821224	0.6119097
Bradi2g61060	33.8882931	0.5310712	0.7497362	0.6264151
Bradi2g50830	56.8777243	0.4554148	0.3455241	0.5029240
Bradi2g14490	58.5394667	0.4654352	0.3888194	0.4422111
Bradi2g10450	36.0675470	0.5775973	0.7505414	0.7247475
Bradi2g11166	41.6663728	0.5183203	0.6106167	0.5500000
Bradi2g04537	62	0.5257803	0.4494202	0.5714286
Bradi2g26710	61.3848081	0.4764432	0.4379298	0.5483092
Bradi2g07070	41.5838531	0.4968184	0.6701236	0.5813953
Bradi2g09350	56.7029669	0.4747216	0.4007504	0.4978166
Bradi2g39247	58.6930649	0.4743781	0.4063780	0.5438787
Bradi2g05234	40.6234284	0.5187980	0.6679420	0.5720000
Bradi2g25017	53.8234436	0.4835902	0.3586860	0.5045514
Bradi2g47171	55.0570127	0.4851222	0.4803114	0.5258621
Bradi2g02522	54.1559937	0.4995019	0.5641713	0.5497835
Bradi2g06467	48.2467128	0.5415040	0.6552042	0.6149425
Bradi2g47980	53.0215460	0.4835456	0.3820605	0.5560254
Bradi2g09253	54.1307008	0.4677741	0.3739096	0.4460432
Bradi2g04310	35.8278155	0.5395457	0.7540501	0.6203209
Bradi2g20810	59.2895081	0.4709210	0.4399335	0.5240642
Bradi2g36268	39.8368820	0.5003014	0.6663575	0.5304659
Bradi2g21260	39.9952672	0.5242738	0.6969758	0.6225895
Bradi2g02940	54.7943073	0.4532637	0.3680746	0.4691943
Bradi2g38987	56.7749025	0.4513240	0.3521184	0.4806723
Bradi2g24450	35.5776823	0.5275373	0.7331253	0.6086435
Bradi2g19520	38.5070915	0.5121819	0.7115983	0.5870070
Bradi2g53730	35.2664908	0.5115870	0.7482295	0.6107383
Bradi2g44530	58.3806659	0.4839642	0.4444298	0.5329341
Bradi2g51274	39.4767850	0.5031969	0.6888830	0.5706522
Bradi2g42070	55.5886982	0.4691327	0.3534011	0.5313653
Bradi2g05250	53.9196217	0.5086645	0.5345644	0.5584795
Bradi2g55132	56.2262475	0.4596401	0.3809529	0.5051335
Bradi2g22710	46.9444043	0.5143632	0.6164944	0.5662651
Bradi2g59210	53.3566356	0.5080498	0.5484558	0.5222222
Bradi2g35299	56.0443176	0.4704387	0.3788739	0.4887218
Bradi2g12030	35.6575807	0.5357938	0.7321532	0.6287879
Bradi2g46710	36.6319795	0.5095644	0.6968698	0.5679825
Bradi2g51957	54.5312703	0.4600959	0.3476350	0.4584527
Bradi2g37000	46.1885349	0.5235185	0.6312355	0.6180124
Bradi2g37379	52.8901453	0.5212204	0.5205718	0.6145251
Bradi2g25150	37.9575378	0.5257558	0.7139230	0.6112676
Bradi2g36890	50.5931421	0.5080710	0.5479108	0.5331633
Bradi2g27380	60.2704945	0.4687733	0.3965999	0.5405405
Bradi2g16350	56.8919812	0.5006744	0.4515410	0.5763780
Bradi2g33350	35.4655946	0.6178742	0.8141045	0.7000000
Bradi2g46060	33.6877843	0.5531942	0.7929999	0.6744186
Bradi2g36515	54.3306515	0.4967813	0.4007892	0.6034483
Bradi2g57398	51.4788770	0.4707918	0.3188881	0.4216867
Bradi2g61890	33.3936262	0.5559305	0.8224233	0.6569579
Bradi2g20120	35.9521450	0.5308218	0.7392619	0.6284153
Bradi2g44480	39.0720795	0.5359299	0.7007492	0.6133721
Bradi2g60260	57.4164402	0.4557463	0.3569222	0.4636572
Bradi2g31275	58.4516164	0.4518860	0.4761304	0.4435484
Bradi2g53711	45.1563114	0.5099313	0.6311268	0.5749487
Bradi2g49980	53.6546090	0.4521938	0.3393556	0.4884393
Bradi2g45670	51.3060533	0.4700009	0.5326739	0.5265018
Bradi2g62591	62	0.4980429	0.5581784	0.5166667
Bradi2g02230	58.2791691	0.4739673	0.3723684	0.5252336
Bradi2g16100	58.3387483	0.4783520	0.4580006	0.5336134
Bradi2g40600	58.6689925	0.4839616	0.4341355	0.5467801
Bradi2g27140	38.7398211	0.5280029	0.7583053	0.6886792
Bradi2g42010	37.3388479	0.5185416	0.7216614	0.5936675
Bradi2g38070	54.3621898	0.4650142	0.3868214	0.5132979
Bradi2g36497	53.3493219	0.4946887	0.4875547	0.5571429
Bradi2g16290	30.9503876	0.5662540	0.8103365	0.7011952
Bradi2g45750	38.5348156	0.5139209	0.6852323	0.5500000
Bradi2g05340	41.0342598	0.5127951	0.7317391	0.6202532
Bradi2g58830	39.7301385	0.5790930	0.6789181	0.7100000
Bradi2g11060	50.7738612	0.5013944	0.5651406	0.5574468
Bradi2g61690	54.0791742	0.5007842	0.4900713	0.5145631
Bradi2g22880	28.9757576	0.5098340	0.7072936	0.5322581
